PASS: six-role Docker installation, actual Linux Control calibration, reviewed policy/region/defaults apply
PASS: PostgreSQL and Control restart preserve exact setup report and calibrated parameters before bootstrap
PASS: applied installation region and Room defaults reach signed runtime with both Gateway/Coordinator ACK
PUBLIC QUOTA: obeyed 429 responses=1; successful heartbeats=0
PUBLIC QUOTA: obeyed 429 responses=100; successful heartbeats=0
PUBLIC QUOTA: obeyed 429 responses=200; successful heartbeats=0
PUBLIC QUOTA: obeyed 429 responses=300; successful heartbeats=0
PUBLIC QUOTA: obeyed 429 responses=400; successful heartbeats=0
PASS: guarded candidate real Docker HTTPS 1000 visitors, 1000 status reads, 100 recent exact retries; client wall p99 including quota waits=47087.9ms; elapsed=68.1s
PASS: real HTTP heartbeat cycle retained 1800 visitors; total=1800
PUBLIC QUOTA: obeyed 429 responses=500; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=600; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=700; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=800; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=900; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1000; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1100; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1200; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1300; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1400; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1500; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1600; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1700; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1800; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=1900; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=2000; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=2100; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=2200; successful heartbeats=1800
PUBLIC QUOTA: obeyed 429 responses=2300; successful heartbeats=1800
